UniqueID,DateOfBite,Species,Breed,Age,Gender,SpayNeuter,Borough,ZipCode,Breed_v4,DogSize_v4,DogType_v4,ZipCode_v4,GeoPoint_v4
"152,April 08 2018,DOG,RAT TERRIER MIX,1,U,TRUE,Brooklyn,""11211"",RAT TERRIER MIX,small,terrier,11211,""40.71244, -73.95299"""
"153,April 09 2018,DOG,BOSTON TERRIER/CHIHUAHUA,6,F,TRUE,Brooklyn,""11201"",BOSTON TERRIER MIX,small,companion,11201,""40.69463, -73.98972"""
"154,April 09 2018,DOG,German Shepherd Crossbreed,3,M,TRUE,Brooklyn,""11221"",GERMAN SHEPHERD MIX,large,working dog,11221,""40.69136, -73.92787"""
"157,April 08 2018,DOG,MIXED BREED,3,M,TRUE,Brooklyn,""11238"",MIXED BREED,unknown,unknown,11238,""40.67913, -73.96384"""
"158,April 09 2018,DOG,SIBERIAN HUSKY,1,M,TRUE,Brooklyn,""11238"",SIBERIAN HUSKY,medium,sled dog,11238,""40.67913, -73.96384"""
"159,April 10 2018,DOG,SHIH TZU,6,M,TRUE,Brooklyn,,SHIH TZU,small,Toy dog,NULL,""NULL"""
"161,April 10 2018,DOG,MALTESE,10,F,TRUE,Brooklyn,""11223"",MALTESE,small,Toy dog,11223,""40.59715, -73.97359"""
"162,April 02 2018,DOG,MIXED,6,F,TRUE,Brooklyn,""11218"",MIXED BREED,unknown,unknown,11218,""40.64346, -73.97611"""
"163,April 08 2018,DOG,Yorkshire Terrier Crossbreed,6,M,FALSE,Brooklyn,""11221"",YORKSHIRE TERRIER MIX,small,terrier,11221,""40.69136, -73.92787"""
"165,April 07 2018,DOG,American Pit Bull Terrier/Pit Bull,1,M,FALSE,Brooklyn,""11230"",American Pit Bull Terrier Mix,medium,terrier,11230,""40.62214, -73.96506"""
"166,April 14 2018,DOG,ITALIAN MASTIFF,9,F,FALSE,Brooklyn,""11234"",ITALIAN MASTIFF,large,guardian,11234,""40.60602, -73.91071"""
"167,April 16 2018,DOG,DACHSHUND SMOOTH COAT,12,F,TRUE,Brooklyn,""11249"",DACHSHUND LH,small,hunting,11249,""40.7170, -73.9635"""
"168,April 16 2018,DOG,ROTTWEILER,2,M,TRUE,Brooklyn,""11208"",ROTTWEILER,very large,working dog,11208,""40.66855, -73.87103"""
"171,April 10 2018,DOG,SHIH TZU MIX,1,M,TRUE,Brooklyn,""11201"",SHIH TZU MIX,small,Toy dog,11201,""40.69463, -73.98972"""
"174,April 18 2018,DOG,MIXED,2,M,FALSE,Brooklyn,""11236"",MIXED BREED,unknown,unknown,11236,""40.63958, -73.90107"""
"176,April 19 2018,DOG,American Pit Bull Mix / Pit Bull Mix,5,M,FALSE,Brooklyn,""11206"",American Pit Bull Terrier Mix,medium,terrier,11206,""40.70187, -73.94235"""
"177,April 21 2018,DOG,American Pit Bull Mix / Pit Bull Mix,3,M,FALSE,Brooklyn,""11231"",American Pit Bull Terrier Mix,medium,terrier,11231,""40.67767, -74.00465"""
"178,April 23 2018,DOG,SHIH TZU,7,M,FALSE,Brooklyn,""11229"",SHIH TZU,small,Toy dog,11229,""40.60083, -73.94401"""
"180,April 23 2018,DOG,MIXED,8,M,FALSE,Brooklyn,""11208"",MIXED BREED,unknown,unknown,11208,""40.66855, -73.87103"""
"183,April 23 2018,DOG,GERMAN SHEPHERD,2,M,TRUE,Brooklyn,""11230"",GERMAN SHEPHERD,large,working dog,11230,""40.62214, -73.96506"""
"184,April 24 2018,DOG,German Shepherd Crossbreed,8,M,TRUE,Brooklyn,""11226"",GERMAN SHEPHERD MIX,large,working dog,11226,""40.64639, -73.9568"""
"193,April 02 2018,DOG,POODLE MIX,5,F,TRUE,Brooklyn,""11210"",POODLE MIX,medium,companion,11210,""40.62821, -73.94627"""
"195,April 27 2018,DOG,MIXED BREED,5,M,FALSE,Brooklyn,""11203"",MIXED BREED,unknown,unknown,11203,""40.64955, -73.93444"""
"196,April 25 2018,DOG,ASIAN SHEPERD,2,M,TRUE,Brooklyn,""11204"",ASIAN SHEPHERD,large,livestock guardian dogs,11204,""40.61871, -73.98492"""
"197,May 01 2018,DOG,GERMAN SHEPHERD,9,M,TRUE,Brooklyn,""11230"",GERMAN SHEPHERD,large,working dog,11230,""40.62214, -73.96506"""
"198,April 29 2018,DOG,MIXED,2,F,TRUE,Brooklyn,""11232"",MIXED BREED,unknown,unknown,11232,""40.65632, -74.00563"""
"200,April 14 2018,DOG,Mixed/Other,4,M,FALSE,Brooklyn,,MIXED BREED,unknown,unknown,NULL,""NULL"""
"201,May 01 2018,DOG,GOLDEN RETRIEVER,1,M,FALSE,Brooklyn,""11230"",GOLDEN RETRIEVER,medium-large,hunting,11230,""40.62214, -73.96506"""
"202,May 02 2018,DOG,American Pit Bull Mix / Pit Bull Mix,4,F,FALSE,Brooklyn,""11220"",American Pit Bull Terrier Mix,medium,terrier,11220,""40.64115, -74.01651"""
"204,May 02 2018,DOG,Labrador Retriever Crossbreed,5,M,TRUE,Brooklyn,""11222"",Labrador Retriever MIX,medium-large,hunting,11222,""40.72858, -73.94774"""
"210,May 04 2018,DOG,YORKSHIRE TERRIER,15,M,TRUE,Brooklyn,""11214"",YORKSHIRE TERRIER,small,terrier,11214,""40.59866, -73.99636"""
"211,May 07 2018,DOG,PITBULL MIX,8,F,FALSE,Brooklyn,""11203"",PIT BULL MIX,medium,terrier,11203,""40.64955, -73.93444"""
